Column_1,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,weight,Normal_Age
0,A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,Shetland Sheepdog Mix,Brown/White,54.025915,1.959760051
1,A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,38.2910626,1.959760051
2,A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,Pit Bull Mix,Blue/White,38.83696304,2.121351779
3,A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue Cream,37.20555929,1.416246109
4,A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,Lhasa Apso/Miniature Poodle,Tan,38.75661603,2.121351779
5,A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,Cairn Terrier/Chihuahua Shorthair,Black/Tan,53.97972925,1.475180238
6,A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,37.30258963,1.416246109
7,A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,42.32046004,1.416246109
8,A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,American Pit Bull Terrier Mix,Red/White,31.31583193,1.773136415
9,A677747,,2014-05-03 7:48:00,Adoption,Offsite,Dog,Spayed Female,Cairn Terrier,White,43.48067825,1.959760051
10,A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Black,45.26808797,2.121351779
11,A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,Miniature Schnauzer Mix,Silver,39.56080883,2.121351779
12,A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,Pit Bull Mix,Brown,35.92680935,2.29626753
13,A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,Yorkshire Terrier Mix,Black/Red,32.2773789,2.121351779
14,A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,Great Pyrenees Mix,White/Cream,51.64047927,1.959760051
15,A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,42.48613023,1.6725662
16,A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,53.38799207,1.416246109
17,A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,Brown/White,47.00395554,1.352104604
18,A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,Angora Mix,White,46.99147212,2.121351779
19,A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,Flat Coat Retriever Mix,Black,46.51538223,1.959760051
20,A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,Queensland Heeler Mix,Black/White,43.30690704,1.596816009
21,A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,White,51.79338225,1.959760051
22,A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,Plott Hound/Boxer,Brown Brindle/White,54.23848987,2.121351779
23,A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,German Shepherd Mix,Brown/White,37.23203269,1.919340119
24,A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,German Shepherd Mix,Black/Brown,70.49568078,1.596816009
25,A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,52.33865206,1.475180238
26,A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,American Staffordshire Terrier Mix,Chocolate/White,34.5409947,1.810477401
27,A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,74.07857925,2.355591419
28,A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby/White,37.60920193,1.596816009
29,A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered Male,Russian Blue Mix,Blue,30.15139875,2.44795483
30,A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,Domestic Shorthair Mix,Calico,33.26469256,2.22198504
31,A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,Black/White,46.71119104,1.728481239
32,A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,44.35312761,1.596816009
33,A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,Collie Smooth/German Shepherd,Brown/Black,39.6380223,2.355591419
34,A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown,22.98120328,2.22198504
35,A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,Labrador Retriever Mix,Yellow,34.51129855,2.22198504
36,A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Brown/White,48.66674505,2.22198504
37,A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue/White,33.478784,1.596816009
38,A702655,Mica,2015-08-11 0:00:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,27.42027224,1.728481239
39,A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,30.80553567,1.416246109
40,A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,33.4435982,2.44795483
41,A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,48.06130098,1.596816009
42,A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,51.4201971,1.596816009
43,A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,Domestic Longhair Mix,Black/White,41.62846634,2.29626753
44,A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,37.48284408,2.121351779
45,A686716,Chester,2014-08-27 7:50:00,Return_to_owner,,Dog,Neutered Male,Beagle,Tricolor,58.60080207,2.603518782
46,A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,44.21974979,2.519296951
47,A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black,35.28434033,1.416246109
48,A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,German Shepherd Mix,Black/Brown,50.2883832,1.773136415
49,A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,Pit Bull/Labrador Retriever,Chocolate/White,52.7643529,2.405198492
50,A684050,,2014-07-28 9:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Tortie,44.86689178,1.959760051
51,A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,34.71731318,1.6725662
52,A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,53.15295944,1.416246109
53,A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,Blue Lacy Mix,Gray/White,29.47226678,2.121351779
54,A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White,40.94963179,1.596816009
55,A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black,37.1671979,1.249109466
56,A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico,40.81078756,1.596816009
57,A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,50.61360379,1.959760051
58,A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,Black Mouth Cur Mix,Tan/Black,46.57715563,2.29626753
59,A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,Dachshund/Beagle,Brown/White,48.21467505,2.121351779
60,A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,58.60129971,1.959760051
61,A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,Yorkshire Terrier Mix,Brown/Black,47.69282134,2.57775254
62,A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black,43.22072074,1.475180238
63,A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,Dachshund Mix,Tan/White,39.98430352,2.121351779
64,A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black,24.09928002,1.352104604
65,A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,Maltese Mix,White,31.73229022,2.405198492
66,A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,Pointer Mix,Black/White,51.14969564,1.810477401
67,A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,English Foxhound,Buff,31.89564049,1.596816009
68,A705258,,2015-06-16 9:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,36.73501607,1.596816009
69,A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Red,49.99901594,1.959760051
70,A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,Vizsla Mix,Brown,38.0291184,1.596816009
71,A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,40.11218679,2.121351779
72,A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,German Shepherd/Great Pyrenees,White,61.43095821,2.22198504
73,A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact Female,Domestic Shorthair Mix,Black,60.02092228,1.959760051
74,A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,Yorkshire Terrier Mix,Blue/Tan,51.22928707,2.29626753
75,A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,58.55222042,2.121351779
76,A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed Female,Domestic Longhair,Brown Tabby,35.98816765,1.6725662
77,A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Calico,32.96753599,1.959760051
78,A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,Chow Chow/Pit Bull,Black,37.96797731,1.596816009
79,A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,28.51929155,2.121351779
80,A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,Chihuahua Shorthair,White,55.84937009,1.959760051
81,A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby,30.51575313,1.352104604
