,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Adopted
0,A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White,0
1,A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby,0
2,A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,1
3,A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream,0
4,A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan,0
5,A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan,0
6,A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,0
7,A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,0
8,A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White,1
9,A677747,,2014-05-03 7:48:00,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White,1
10,A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,0
11,A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver,1
12,A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown,1
13,A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red,0
14,A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream,0
15,A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,1
16,A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0
17,A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White,0
18,A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White,0
19,A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black,0
20,A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White,0
21,A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White,0
22,A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White,1
23,A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White,1
24,A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown,0
25,A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,0
26,A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White,1
27,A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan,1
28,A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White,1
29,A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue,0
30,A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,0
31,A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White,0
32,A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,1
33,A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black,0
34,A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,0
35,A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow,0
36,A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,0
37,A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White,0
38,A702655,Mica,2015-08-11 0:00:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,0
39,A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0
40,A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby,1
41,A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,0
42,A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,0
